GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer-service,com.nttdata.bootcamp.customerservice.aplication.exception,GlobalExceptionHandler,0,31,0,0,0,8,0,2,0,2
customer-service,com.nttdata.bootcamp.customerservice.controller,CustomerController,0,43,0,0,0,11,0,8,0,8
customer-service,com.nttdata.bootcamp.customerservice.aplication,CustomerServiceImpl,0,129,0,0,0,16,0,11,0,11
customer-service,com.nttdata.bootcamp.customerservice.aplication.mappers,MapperCustomer,0,49,0,0,0,10,0,3,0,3
customer-service,com.nttdata.bootcamp.customerservice.model,Customer,205,224,57,21,0,13,41,23,2,23
customer-service,com.nttdata.bootcamp.customerservice.model,Customer.CustomerBuilder,25,65,0,0,0,1,2,10,2,10
customer-service,com.nttdata.bootcamp.customerservice.model.dto,CustomerDto.CustomerDtoBuilder,33,93,0,0,0,1,2,14,2,14
customer-service,com.nttdata.bootcamp.customerservice.model.dto,CustomerDto,233,316,65,29,0,17,46,34,1,32
customer-service,com.nttdata.bootcamp.customerservice.model.dto,ResponseCode,0,14,0,0,0,2,0,1,0,1
customer-service,com.nttdata.bootcamp.customerservice.model.dto,ApiError,131,24,30,0,0,4,19,7,4,7
customer-service,com.nttdata.bootcamp.customerservice,CustomerServiceApplication,5,3,0,0,2,1,1,1,1,1
customer-service,com.nttdata.bootcamp.customerservice.model.constants,TypeProfile,0,24,0,0,0,2,0,1,0,1
customer-service,com.nttdata.bootcamp.customerservice.model.constants,TypeCustomer,0,24,0,0,0,2,0,1,0,1
